System	T_eff	M	R	age	$v\sin i$	References	
WASP-15	6573 +or- 70	1.30 +or- 0.05	1.52 +or- 0.04	2.40}_{-1.00}^{+0.80}$	4.27}_{-0.36}^{+0.26}$	139,131	
WASP-16	5630 +or- 70	0.98 +or- 0.05	1.09 +or- 0.04	8.60}_{-3.80}^{+3.90}$	1.20}_{-0.50}^{+0.40}$	139	
WASP-17	6550 +or- 100	1.29 +or- 0.08	1.58 +or- 0.04	2.65 +or- 0.25	14.67}_{-0.57}^{+0.81}$	9,131	
WASP-18	6400 +or- 70	1.29 +or- 0.06	1.25 +or- 0.03	1.00 +or- 0.50	11.20 +or- 0.60	9,29	
WASP-19	5460 +or- 90	0.94 +or- 0.04	1.02 +or- 0.01	9.95 +or- 2.49	4.40 +or- 0.90	7,29	
WASP-20	5987 +or- 20	1.11 +or- 0.03	1.24 +or- 0.04	7.00}_{-1.00}^{+2.00}$	4.75 +or- 0.51	9,140	
WASP-21	5924 +or- 55	0.89 +or- 0.08	1.14 +or- 0.05	5.50 +or- 2.00	0.66 +or- 0.14	21,141	
WASP-22	6153 +or- 46	1.25}_{-0.03}^{+0.07}$	1.25 +or- 0.03	4.30}_{-1.10}^{+1.60}$	4.40 +or- 0.30	9,142	
WASP-24	6107 +or- 77	1.17 +or- 0.07	1.32 +or- 0.04	3.80}_{-1.20}^{+1.30}$	7.00 +or- 0.90	9,143	
WASP-25	5736 +or- 35	1.05 +or- 0.04	0.92 +or- 0.02	0.02}_{-0.01}^{+3.96}$	2.90 +or- 0.30	144,145	
WASP-26	6015 +or- 55	1.09 +or- 0.05	1.28 +or- 0.04	6.00 +or- 2.00	2.20 +or- 0.70	9,29	
WASP-28	6084 +or- 45	0.99 +or- 0.07	1.08 +or- 0.03	5.00}_{-2.00}^{+3.00}$	3.25 +or- 0.34	140	
WASP-30	6190 +or- 50	1.25}_{-0.04}^{+0.03}$	1.39}_{-0.03}^{+0.03}$	3.40}_{-0.50}^{+0.30}$	12.10}_{-0.50}^{+0.40}$	146	
WASP-31	6175 +or- 70	1.16 +or- 0.03	1.25 +or- 0.03	1.00}_{-0.50}^{+3.00}$	6.60 +or- 0.60	9,145	
WASP-32	6100 +or- 100	1.10 +or- 0.03	1.11 +or- 0.05	2.22}_{-0.73}^{+0.62}$	3.90}_{-0.50}^{+0.40}$	9,147	
WASP-33	7430 +or- 100	1.56}_{-0.08}^{+0.04}$	1.51}_{-0.03}^{+0.02}$	0.10}_{-0.09}^{+0.40}$	86.63}_{-0.37}^{+0.32}$	148,149	
WASP-38	6150 +or- 80	1.20 +or- 0.04	1.33}_{-0.03}^{+0.03}$	3.29}_{-0.53}^{+0.42}$	7.50}_{-0.20}^{+0.10}$	9,147	
WASP- 39	5485 +or- 50	0.91 +or- 0.05	0.94 +or- 0.02	9.00}_{-4.00}^{+3.00}$	1.40 +or- 0.25	9,25	
WASP-41	5546 +or- 33	0.99 +or- 0.03	0.89 +or- 0.01	9.80}_{-3.90}^{+2.30}$	1.60 +or- 1.10	9,150	
WASP-43	4520 +or- 120	0.72 +or- 0.03	0.67}_{-0.01}^{+0.01}$	7.00 +or- 7.00	2.26 +or- 0.54	9,46	
WASP-47	5576 +or- 67	1.04 +or- 0.03	1.14 +or- 0.01	6.70}_{-1.10}^{+1.50}$	1.80}_{-0.16}^{+0.24}$	151,152	
WASP-52	5000 +or- 100	0.80 +or- 0.05	0.79 +or- 0.02	10.70}_{-4.50}^{+1.90}$	2.62 +or- 0.07	9,153	
WASP-53	4950 +or- 60	0.84 +or- 0.05	0.80 +or- 0.02	-	0.86 +or- 0.21	154	
WASP-60	6105 +or- 50	1.23 +or- 0.03	1.40 +or- 0.07	1.70}_{-0.70}^{+0.90}$	2.97 +or- 0.47	25	
WASP-61	6250 +or- 150	1.27 +or- 0.06	1.39 +or- 0.03	2.70}_{-0.60}^{+0.10}$	11.10 +or- 0.70	155	
WASP-62	6230 +or- 80	1.25 +or- 0.05	1.28 +or- 0.05	0.80 +or- 0.60	9.30 +or- 0.20	155	
WASP-66	6600 +or- 150	1.30 +or- 0.07	1.75 +or- 0.09	3.70}_{-1.20}^{+0.70}$	12.10 +or- 2.20	9,156	
WASP-69	4700 +or- 50	0.83 +or- 0.03	0.81 +or- 0.03	7.00 +or- 7.00	2.20 +or- 0.40	9,157	
WASP-71	6180 +or- 52	1.56 +or- 0.06	2.26 +or- 0.17	3.60}_{-1.00}^{+1.60}$	7.80}_{-0.40}^{+0.30}$	155	
WASP-72	6250 +or- 100	1.39 +or- 0.06	1.98 +or- 0.24	3.20 +or- 0.60	5.00}_{-1.20}^{+1.40}$	158,159	
WASP-74	5984 +or- 57	1.19 +or- 0.04	1.54 +or- 0.03	3.49 +or- 0.65	5.85 +or- 0.50	160	
WASP-76	6329 +or- 65	1.46 +or- 0.02	1.76 +or- 0.07	1.82 +or- 0.27	1.48 +or- 0.28	161	
WASP-78	6100 +or- 150	1.39}_{-0.08}^{+0.09}$	2.35}_{-0.09}^{+0.10}$	2.80}_{-0.30}^{+1.60}$	7.10 +or- 0.50	155	
WASP-79	6600 +or- 100	1.39 +or- 0.08	1.51}_{-0.03}^{+0.04}$	1.40 +or- 0.30	17.41}_{-0.12}^{+0.20}$	155,50	
WASP-80	4145 +or- 100	0.60 +or- 0.04	0.59 +or- 0.01	7.00 +or- 7.00	1.27}_{-0.17}^{+0.14}$	9,162	
WASP-84	5280 +or- 80	0.85 +or- 0.06	0.77 +or- 0.02	2.10 +or- 1.60	2.56 +or- 0.08	163	
WASP-85	5685 +or- 65	1.09 +or- 0.08	0.94 +or- 0.02	0.50}_{-0.10}^{+0.30}$	3.41 +or- 0.89	164,165	
WASP-87	6450 +or- 120	1.20 +or- 0.09	1.63 +or- 0.06	3.80 +or- 0.80	9.80 +or- 0.60	166,156	
WASP-94A	6170 +or- 80	1.45 +or- 0.09	1.62}_{-0.04}^{+0.05}$	2.70 +or- 0.60	4.20 +or- 0.50	9,167	
WASP-100	6940 +or- 120	1.47}_{-0.05}^{+0.06}$	1.67}_{-0.11}^{+0.18}$	1.57}_{-0.20}^{+0.30}$	12.80}_{-2.20}^{+2.30}$	9,159	
WASP-103	6110 +or- 160	1.21}_{-0.12}^{+0.10}$	1.41}_{-0.05}^{+0.04}$	4.00 +or- 1.00	6.50 +or- 2.00	9,156	
WASP-107	4425 +or- 70	0.68}_{-0.02}^{+0.02}$	0.67 +or- 0.02	6.90}_{-3.40}^{+3.70}$	2.50 +or- 0.80	168,169	
WASP-109	6520 +or- 140	1.20 +or- 0.09	1.35 +or- 0.04	2.60 +or- 0.90	18.90}_{-2.30}^{+2.40}$	159	
WASP-111	6400 +or- 150	1.50 +or- 0.11	1.85 +or- 0.10	2.60 +or- 0.60	11.12 +or- 0.77	166	
WASP-117	6040 +or- 90	1.13 +or- 0.03	1.17}_{-0.06}^{+0.07}$	4.60 +or- 2.00	1.46 +or- 0.14	9,170	
WASP-121	6586 +or- 59	1.38 +or- 0.02	1.44 +or- 0.03	1.50 +or- 1.00	13.56}_{-0.68}^{+0.69}$	171	
WASP-127	5750 +or- 100	0.95 +or- 0.02	1.33 +or- 0.03	9.66 +or- 1.00	0.53}_{-0.05}^{+0.07}$	172	
WASP-134	5700 +or- 100	1.13 +or- 0.04	1.18 +or- 0.05	5.10 +or- 1.60	2.08 +or- 0.26	173	
WASP-148	5437 +or- 21	0.97}_{-0.06}^{+0.05}$	0.90}_{-0.01}^{+0.01}$	-	2.30}_{-0.34}^{+0.38}$	174	
WASP-166	6050 +or- 50	1.19 +or- 0.06	1.22 +or- 0.06	2.10 +or- 0.90	5.10 +or- 0.30	175	
WASP-167	7043}_{-68}^{+89}$	1.59 +or- 0.08	1.79 +or- 0.05	1.54 +or- 0.40	49.94 +or- 0.04	176	
WASP-174	6400 +or- 100	1.24 +or- 0.04	1.35 +or- 0.02	1.65 +or- 0.85	16.50 +or- 0.50	177	
