Planet,a/R,e_a/R,E_a/R,m,e_m,E_m,r,e_r,E_r,e,e_e,E_e,lambda,e_lambda,E_lambda,i,e_i,E_i,psi,e_psi,E_psi,Refs,SimbadName,_RA,_DE
HAT-P-34b       ,9.48,0.64,0.84,3.33,0.21,0.21,1.2,0.09,0.13,0.432,0.027,0.029,0,14,14,     ,    ,    ,,    ,    ,"9,27              ",HAT-P-34b      ,303.19536,18.10483
HAT-P-36b       ,4.93,0.1,0.1,1.85,0.1,0.1,1.3,0.03,0.03,0,0,0.059,14,18,18,90,28.3,0,28.6,14.6,16,"9,48,2            ",HAT-P-36b      ,188.26628,44.91533
HAT-P-41b       ,5.44,0.13,0.2,0.8,0.1,0.1,1.69,0.05,0.08,0,0,0.22,22.1,0.8,6,     ,    ,    ,,    ,    ,"9,49              ",HAT-P-41b      ,297.32267,4.67244
HAT-P-56b       ,6.37,0.15,0.15,2.18,0.25,0.25,1.47,0.04,0.04,0,0,0.29,8,2,2,     ,    ,    ,,    ,    ,"9,50              ",HAT-P-56b      ,100.84805,27.25228
HAT-P-69b       ,7.69,0.1,0.18,3.73,0.59,0.61,1.63,0.03,0.03,0,      ,      ,30.3,7.3,6.1,     ,    ,    ,,    ,    ,51,HAT-P-69b      ,130.50565,3.71056
HAT-P-70b       ,5.48,0.3,0.35,0,0,6.78,1.87,0.1,0.15,0,      ,      ,113.1,3.4,5.1,     ,    ,    ,,    ,    ,51,HAT-P-70b      ,74.55234,9.998
HATS-2b         ,5.51,0.14,0.14,1.34,0.15,0.15,1.17,0.03,0.03,0,0,0.29,8,8,8,64.7,12.3,25.3,20.6,10.4,23.6,"9,52,2            ",HATS-2b        ,176.73904,-22.563
HATS-3b         ,7.43,0.18,0.17,1.07,0.14,0.14,1.38,0.04,0.04,0,0,0.3,3,25,25,     ,    ,    ,,    ,    ,"9,53              ",HATS-3b        ,312.45744,-24.42876
HATS-70b        ,4.15,0.18,0.16,12.9,1.6,1.8,1.38,0.07,0.08,0,0,0.18,8.9,4.5,5.6,     ,    ,    ,,    ,    ,"54,55             ",HATS-70b       ,109.10453,-31.24441
HD 332231b      ,24.5,0.2,0.3,0.24,0.02,0.02,0.86,0.02,0.02,0,0,0.05,2,6,6,     ,    ,    ,,    ,    ,"56,57,58          ",HD 332231b     ,306.74132,33.74445
HD 3167c        ,43.86,0.86,0.82,0.03,0,0,0.27,0.03,0.04,0,0,0.267,98,23,23,     ,    ,    ,,    ,    ,59,HD 3167c       ,8.73968,4.38147
HD 17156b       ,23.67,0.79,0.79,3.26,0.11,0.11,1.06,0.04,0.04,0.67,0.001,0.001,10,5.1,5.1,     ,    ,    ,,    ,    ,"9,60,61,62,63     ",HD 17156b      ,42.43536,71.75323
HD 63433c       ,38,1.7,4.6,0.02,0.02,0.02,2.71,0.14,0.14,0,0,0,11,35,32,90,18.7,0,25.6,15.3,22.5,"64,65,2           ",HD 63433c      ,117.47942,27.36318
HD 80606b       ,94.64,3.66,3.66,4.11,0.15,0.15,1,0.03,0.03,0.932,0.001,0.001,42,8,8,     ,    ,    ,,    ,    ,"9,66,67,68,69     ",HD 80606b      ,140.65657,50.60373
HD 106315c      ,24.79,0.43,0.39,0.04,0.01,0.01,0.39,0.01,0.01,0.22,0.15,0.15,10.9,3.6,3.8,     ,    ,    ,,    ,    ,70,HD 106315c     ,183.47249,-0.39349
HD 149026b      ,6.02,0.18,0.2,0.37,0.01,0.01,0.81,0.03,0.03,0,0,0.013,12,7,7,     ,    ,    ,,    ,    ,"9,27,71           ",HD 149026b     ,247.62341,38.34731
HD 189733b      ,8.98,0.33,0.33,1.15,0.04,0.04,1.15,0.04,0.04,0,0,0.004,0.4,0.2,0.2,90,14.9,0,2.3,1.6,13.5,"9,72,2,73,14,74   ",HD 189733b     ,300.18214,22.71085
HD 209458b      ,8.78,0.15,0.15,0.71,0.02,0.02,1.38,0.02,0.02,0,0,0.008,0.6,0.4,0.4,61,8.8,13.3,28.2,13.5,9.7,"9,75,2,76,27,77   ",HD 209458b     ,330.79489,18.88432
HIP 67522b      ,11.71,0.16,0.09,0,0,5,0.93,0.04,0.04,0,0,0.3,5.8,5.7,2.8,90,5,0,20.2,10.3,8.7,"78,79             ",HD 120411b     ,207.52616,-40.8358
K2-25b          ,21.05,1.1,1.1,0.08,0.02,0.02,0.31,0.01,0.01,0.428,0.049,0.05,3,16,16,90,11.8,0,13.8,7.8,10.1,"80,2,81           ",K2-25b         ,63.27339,15.24778
K2-29b          ,10.54,0.14,0.14,0.73,0.04,0.04,1.19,0.02,0.02,0.066,0.066,0.022,1.5,8.7,8.7,68.4,8.9,18.2,19.3,11.1,13.7,"82,2              ",K2-29b         ,62.67034,24.40175
K2-34b          ,6.73,0.23,0.23,1.65,0.1,0.1,1.22,0.05,0.05,0,1,0.022,1,10,9,     ,    ,    ,,    ,    ,83,K2-34b         ,127.57879,22.23591
K2-140b         ,12.88,0,0,1.13,0.11,0.12,1.2,0.08,0.08,0.069,0.028,0.042,0.5,9.7,9.7,     ,    ,    ,,    ,    ,"84,85             ",K2-140b        ,188.13735,-9.60764
K2-232b         ,19.25,0.31,0.27,0.38,0.05,0.05,1.1,0.02,0.02,0.247,0.021,0.02,11.1,6.6,6.6,     ,    ,    ,,    ,    ,"86,87             ",K2-232b        ,73.76651,18.65453
K2-290 c        ,43.5,1.2,1.2,1.01,0.05,0.05,0.77,0.05,0.05,0,0,0.241,153,8,8,39,7,7,124,6,6,"88,89             ",K2-290 c       ,234.85776,-20.19882
KELT-1b         ,3.61,0.1,0.12,27.38,0.93,0.93,1.12,0.03,0.04,0.01,0.007,0.01,2,16,16,     ,    ,    ,,    ,    ,90,KELT-1b        ,0.36215,39.38383
KELT-6b         ,11.17,1.01,1.05,0.43,0.05,0.04,1.19,0.08,0.13,0,0,0.036,36,11,11,     ,    ,    ,,    ,    ,"9,91              ",KELT-6b        ,195.98186,30.64008
KELT-7b         ,5.48,0.16,0.16,1.28,0.18,0.18,1.53,0.05,0.05,0,      ,      ,2.7,0.6,0.6,     ,    ,    ,,    ,    ,"50,92             ",KELT-7b        ,78.29554,33.31817
KELT-9b         ,3,0.1,0.1,2.88,0.35,0.35,1.94,0.05,0.05,0,0,0.035,85,0.2,0.2,52,7,8,87,11,10,"93,94,95,96       ",KELT-9b        ,307.85981,39.93882
KELT-17b        ,6.38,0.23,0.25,1.31,0.29,0.28,1.52,0.06,0.07,0,0,0.99,115.9,4.1,4.1,90,21.3,0,114.4,4.6,4.3,"97,2              ",KELT-17b       ,125.61752,13.73532
KELT-19b        ,7.49,0.51,0.54,0,0,4.07,1.91,0.11,0.11,0,      ,      ,179.7,3.7,3.8,     ,    ,    ,,    ,    ,98,KELT-19Ab      ,111.50954,7.61578
KELT-21b        ,6.86,0.15,0.15,0,0,3.9,1.59,0.04,0.04,0,      ,      ,5.6,1.7,1.9,     ,    ,    ,,    ,    ,99,KELT-21b       ,304.80002,32.58104
KELT-25b        ,6.46,0.15,0.2,0,0,64,1.64,0.04,0.04,0,0,1,23.4,2.3,3.2,     ,    ,    ,,    ,    ,100,KELT-25b       ,108.12313,-24.95356
KELT-26b        ,6.49,0.18,0.18,1.41,0.51,0.43,1.94,0.06,0.06,0,0,1,91.3,6.3,6.5,     ,    ,    ,,    ,    ,100,KELT-26b       ,227.27039,-42.70494
Kepler-8b       ,6.98,0.24,0.24,0.59,0.12,0.12,1.38,0.04,0.04,0,      ,      ,5,7,7,58,10.1,15.5,31.1,15.7,10.9,"27,2,101          ",Kepler-8b      ,281.28812,42.45108
Kepler-9b       ,32.05,0.74,0.74,0.14,0.01,0.01,0.74,0.01,0.01,0.064,0,0,13,16,16,71.9,8.8,18.1,28.1,13.6,13,"102,2             ",Kepler-9b      ,285.57398,38.40088
Kepler-13b      ,6.15,0.21,0.16,6,3,3,1.41,0.04,0.04,0,      ,      ,59.2,0.1,0.1,81.1,0,0,60.2,0.1,0.1,"103,104,105,106",Kepler-13b     ,286.97142,46.86831
Kepler-17b      ,5.7,0.41,0.14,2.34,0.24,0.09,1.31,0.07,0.02,0,      ,      ,0,15,15,90,24.5,0,19.7,10.9,14.4,"107,2             ",Kepler-17b     ,298.39527,47.81501
Kepler-25c      ,18.62,0.24,0.24,0.05,0.01,0,0.47,0.01,0.01,0.061,0.004,0.005,0.5,5.7,5.7,90,21.3,0,5.7,3.2,4.2,"108,109,2,110     ",Kepler-25c     ,286.63839,39.48788
Kepler-30c      ,67.86,8.57,8.57,1.69,0.02,0.02,1.07,0.03,0.03,0.011,0.001,0.001,4,10,10,     ,    ,    ,,    ,    ,111,Kepler-30c     ,285.28364,38.94728
Kepler-50b      ,10.48,2.73,1.64,0,0,0.02,0.15,0.01,0,0,0,0.1,,    ,    ,82,7,8,,    ,    ,112,Kepler-50b     ,288.10089,50.03371
Kepler-56b      ,5.23,0.26,0.26,0.07,0.01,0.01,0.58,0.03,0.03,0,      ,      ,,    ,    ,47,6,6,,    ,    ,113,Kepler-56b     ,293.75834,41.87186
Kepler-63b      ,19.09,0.67,0.75,0,0,0.38,0.54,0.02,0.02,0,0,0.45,110,22,14,138,7,7,104,14,9,114,Kepler-63b     ,289.22619,49.54818
Kepler-65b      ,5.24,0.18,0.32,0.01,0.01,0.01,0.13,0,0,0.028,0.02,0.031,,    ,    ,81,16,9,,    ,    ,112,Kepler-65b     ,288.68872,41.15117
Kepler-89d      ,23.82,2.22,2.22,0.33,0.04,0.04,1,0.1,0.1,0.022,0.033,0.038,6,13,11,     ,    ,    ,,    ,    ,"115,108",Kepler-89d     ,297.33306,41.89111
